content_id,timestamp,text,platform,content_type,language_form,text_category,emoji_used,ai_flagged,user_reported,native_reviewer_offensive,escalation_source,time_to_action_hours,crisis_period
C42,05-04-2025 11:35,sobai jane eta ki 💀 #41,Facebook,Post,Romanized,Social,0,0,0,0,None,8,Normal
C43,04-05-2025 23:15,eta khub bhalo kotha 💀 #42,Facebook,Post,Romanized,Meme,0,0,0,0,None,17,Normal
C44,23-05-2025 19:33,sobai jane eta ki #43,Facebook,Comment,Romanized,Social,1,0,0,0,None,14,Normal
C45,20-02-2025 21:01,lokjon bujhte parbe na #44,Instagram,Comment,Romanized,Neutral,0,0,0,0,None,7,Normal
C46,10-06-2025 23:28,ei desher obostha dekho #45,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,13,Protest
C47,03-03-2025 21:30,eta khub bhalo kotha #46,Facebook,Post,Romanized,Meme,1,0,0,0,None,11,Normal
C48,23-03-2025 02:59,lokjon bujhte parbe na #47,Facebook,Comment,Romanized,Political,0,0,0,0,None,24,Protest
C49,17-06-2025 01:39,eta khub bhalo kotha #48,Instagram,Post,Romanized,Social,0,0,0,0,None,2,Normal
C50,10-05-2025 11:49,lokjon bujhte parbe na #49,Instagram,Ad,Romanized,Neutral,0,0,0,0,None,14,Election
C51,16-02-2025 10:01,bujhle bhalo #50,Facebook,Comment,Romanized,Political,0,0,0,0,None,9,Protest
C52,10-02-2025 16:43,kichu bolar nei 😏 #51,Facebook,Comment,Romanized,Political,0,0,0,0,None,15,Election
C53,31-01-2025 08:30,ei desher obostha dekho #52,Facebook,Comment,Romanized,Social,0,1,1,1,None,11,Election
C54,12-04-2025 01:29,ei desher obostha dekho #53,Instagram,Comment,Romanized,Meme,1,0,0,0,None,2,Normal
C55,13-03-2025 11:25,kichu bolar nei #54,Facebook,Post,Romanized,Social,0,0,0,0,None,9,Election
C56,18-05-2025 10:38,lokjon bujhte parbe na #55,Instagram,Post,Romanized,Political,0,1,1,1,None,11,Normal
C57,30-05-2025 04:45,eta khub bhalo kotha #56,Facebook,Comment,Romanized,Neutral,1,0,0,0,None,2,Normal
C58,22-03-2025 17:48,sobai jane eta ki #57,Instagram,Post,Romanized,Meme,0,0,0,1,None,19,Normal
C59,21-02-2025 23:48,lokjon bujhte parbe na #58,Facebook,Comment,Romanized,Political,0,0,0,0,None,12,Election
C60,15-04-2025 05:25,ei desher obostha dekho 👀 #59,Facebook,Comment,Romanized,Social,1,0,0,0,None,16,Normal
C61,10-06-2025 12:35,bujhle bhalo #60,Instagram,Ad,Romanized,Neutral,0,0,0,0,None,22,Normal
C62,30-01-2025 18:20,bujhle bhalo #61,Facebook,Ad,Romanized,Social,0,0,0,0,None,23,Protest
C63,06-02-2025 02:34,eta khub bhalo kotha #62,Instagram,Ad,Romanized,Political,1,1,0,1,None,7,Normal
C64,18-03-2025 04:29,kichu bolar nei 🙂 #63,Instagram,Comment,Romanized,Political,1,0,0,0,None,9,Normal
C65,11-01-2025 01:00,ajkal onek kichu cholche #64,Instagram,Post,Romanized,Social,1,0,0,0,None,24,Normal
C66,23-02-2025 06:39,bujhle bhalo #65,Facebook,Ad,Romanized,Political,0,0,0,0,None,21,Normal
C67,22-03-2025 19:12,kichu bolar nei #66,Instagram,Post,Romanized,Meme,1,0,0,0,None,12,Election
C68,17-02-2025 17:45,sobai jane eta ki 🤡 #67,Facebook,Comment,Romanized,Meme,1,0,0,0,None,4,Election
C69,01-04-2025 09:25,ei desher obostha dekho #68,Instagram,Ad,Romanized,Social,1,0,0,0,None,19,Normal
C70,29-06-2025 14:46,lokjon bujhte parbe na #69,Instagram,Post,Romanized,Meme,0,0,0,1,None,17,Election
C71,25-03-2025 03:46,ajkal onek kichu cholche #70,Instagram,Comment,Romanized,Social,1,0,0,0,None,19,Normal
C72,24-04-2025 09:52,lokjon bujhte parbe na #71,Facebook,Comment,Romanized,Social,0,0,0,0,None,14,Normal
C73,11-02-2025 01:54,lokjon bujhte parbe na 🤡 #72,Facebook,Post,Romanized,Political,0,0,0,0,None,4,Normal
C74,05-05-2025 07:48,kichu bolar nei #73,Instagram,Comment,Romanized,Political,1,0,0,0,None,21,Normal
C75,04-04-2025 05:59,lokjon bujhte parbe na #74,Instagram,Comment,Romanized,Social,0,0,0,0,None,24,Normal
C76,01-01-2025 18:08,ajkal onek kichu cholche 👀 #75,Facebook,Comment,Romanized,Social,0,0,0,0,None,14,Election
C77,05-05-2025 12:39,ei desher obostha dekho #76,Instagram,Ad,Romanized,Social,1,0,0,0,None,1,Normal
C78,07-04-2025 20:30,ajkal onek kichu cholche #77,Instagram,Comment,Romanized,Social,0,0,0,0,None,19,Normal
C79,18-04-2025 16:58,ajkal onek kichu cholche #78,Facebook,Ad,Romanized,Meme,0,0,0,0,None,10,Election
C80,01-06-2025 08:36,bujhle bhalo 😡 #79,Facebook,Comment,Romanized,Political,1,1,0,1,None,12,Normal
C81,15-04-2025 13:07,lokjon bujhte parbe na #80,Facebook,Post,Romanized,Meme,0,1,1,1,None,6,Normal
C82,12-05-2025 11:02,lokjon bujhte parbe na #81,Instagram,Post,Romanized,Social,1,0,0,0,None,19,Election
C83,12-02-2025 12:49,bujhle bhalo 👀 #82,Facebook,Comment,Romanized,Social,0,0,0,0,None,1,Election
C84,01-05-2025 17:16,kichu bolar nei #83,Facebook,Comment,Romanized,Political,1,0,0,0,None,2,Normal
C85,05-06-2025 00:22,ei desher obostha dekho #84,Instagram,Post,Romanized,Social,1,0,0,0,None,16,Normal
C86,03-03-2025 14:19,ajkal onek kichu cholche #85,Facebook,Comment,Romanized,Political,0,0,0,0,None,15,Normal
C87,27-01-2025 00:56,sobai jane eta ki 😏 #86,Facebook,Post,Romanized,Social,1,0,0,1,None,24,Normal
C88,24-02-2025 05:32,lokjon bujhte parbe na #87,Facebook,Post,Romanized,Social,0,1,0,1,None,7,Protest
C89,21-04-2025 17:03,kichu bolar nei #88,Instagram,Comment,Romanized,Political,0,0,0,1,None,12,Election
C90,23-06-2025 02:13,eta khub bhalo kotha #89,Facebook,Post,Romanized,Neutral,1,1,1,1,None,10,Normal
C91,19-04-2025 15:53,lokjon bujhte parbe na #90,Facebook,Post,Romanized,Social,0,0,0,0,None,22,Normal
C92,04-06-2025 03:22,lokjon bujhte parbe na #91,Instagram,Comment,Romanized,Neutral,1,0,0,0,None,12,Protest
C93,20-04-2025 19:35,eta khub bhalo kotha #92,Facebook,Comment,Romanized,Political,1,0,0,1,None,13,Normal
C94,31-01-2025 12:50,kichu bolar nei #93,Facebook,Post,Romanized,Political,0,0,0,0,None,21,Normal
C95,14-03-2025 04:00,sobai jane eta ki #94,Instagram,Comment,Romanized,Meme,1,1,0,1,None,10,Normal
C96,14-06-2025 07:31,kichu bolar nei 🙏 #95,Facebook,Post,Romanized,Social,0,0,0,0,None,2,Protest
C97,20-04-2025 13:47,bujhle bhalo 🤡 #96,Instagram,Post,Romanized,Political,0,0,0,1,None,20,Normal
C98,27-01-2025 13:32,sobai jane eta ki #97,Instagram,Post,Romanized,Neutral,0,0,0,0,None,15,Normal
C99,08-06-2025 06:16,eta khub bhalo kotha #98,Facebook,Post,Romanized,Social,0,0,0,0,None,6,Protest
C100,08-04-2025 06:06,lokjon bujhte parbe na 😂 #99,Instagram,Comment,Romanized,Meme,0,1,0,1,None,8,Election
C101,12-06-2025 06:36,lokjon bujhte parbe na #100,Facebook,Ad,Romanized,Social,0,0,0,0,None,12,Election
C102,25-06-2025 20:10,lokjon bujhte parbe na #101,Facebook,Ad,Romanized,Social,1,0,0,0,None,24,Normal
C103,15-06-2025 23:05,lokjon bujhte parbe na 🙂 #102,Instagram,Comment,Romanized,Social,1,0,0,0,None,20,Protest
C104,17-03-2025 20:28,bujhle bhalo 🙂 #103,Instagram,Post,Romanized,Social,1,0,0,0,None,2,Normal
C105,05-06-2025 02:32,sobai jane eta ki #104,Facebook,Comment,Romanized,Meme,1,0,0,0,None,17,Election
C106,19-02-2025 23:52,eta khub bhalo kotha #105,Instagram,Post,Romanized,Political,0,0,0,1,None,20,Normal
C107,13-01-2025 08:15,ei desher obostha dekho #106,Facebook,Comment,Romanized,Social,1,0,0,0,None,13,Protest
C108,13-01-2025 07:13,ei desher obostha dekho 🤡 #107,Facebook,Comment,Romanized,Political,0,1,0,1,None,9,Election
C109,05-04-2025 01:09,lokjon bujhte parbe na 🤡 #108,Facebook,Comment,Romanized,Political,0,0,0,0,None,5,Election
C110,04-03-2025 11:38,bujhle bhalo #109,Facebook,Post,Romanized,Meme,0,0,0,0,None,17,Normal
C111,19-02-2025 20:34,kichu bolar nei 😂 #110,Facebook,Ad,Romanized,Social,0,0,0,0,None,3,Normal
C112,07-06-2025 08:08,ajkal onek kichu cholche 😡 #111,Instagram,Ad,Romanized,Neutral,0,0,0,0,None,4,Election
C113,15-02-2025 13:30,ei desher obostha dekho #112,Facebook,Comment,Romanized,Meme,0,0,0,0,None,24,Normal
C114,10-02-2025 18:25,sobai jane eta ki #113,Facebook,Ad,Romanized,Political,1,0,0,0,None,5,Normal
C115,26-01-2025 07:21,lokjon bujhte parbe na 😡 #114,Facebook,Comment,Romanized,Political,1,1,0,1,None,9,Normal
C116,29-05-2025 16:08,kichu bolar nei #115,Facebook,Post,Romanized,Meme,0,0,0,0,None,13,Normal
C117,18-02-2025 11:53,bujhle bhalo 😡 #116,Instagram,Comment,Romanized,Political,0,0,0,0,None,5,Protest
C118,08-05-2025 19:13,eta khub bhalo kotha #117,Facebook,Ad,Romanized,Political,0,0,1,1,None,31,Protest
C119,16-03-2025 23:10,ei desher obostha dekho #118,Facebook,Ad,Romanized,Social,1,0,0,0,None,21,Protest
C120,16-02-2025 14:07,kichu bolar nei #119,Facebook,Post,Romanized,Neutral,0,0,0,0,None,20,Normal
C121,14-04-2025 16:13,eta khub bhalo kotha 😡 #120,Facebook,Post,Romanized,Social,1,0,0,0,None,7,Election
C122,22-01-2025 16:01,ei desher obostha dekho 🙂 #121,Facebook,Ad,Romanized,Political,0,1,0,1,None,6,Normal
C123,01-05-2025 15:27,bujhle bhalo #122,Instagram,Ad,Romanized,Social,0,0,0,0,None,3,Election
C124,22-01-2025 05:37,sobai jane eta ki #123,Facebook,Comment,Romanized,Social,0,0,0,0,None,1,Normal
C125,04-06-2025 16:32,sobai jane eta ki #124,Facebook,Comment,Romanized,Neutral,1,1,1,1,None,11,Protest
C126,10-01-2025 10:20,eta khub bhalo kotha #125,Instagram,Comment,Romanized,Social,0,0,0,0,None,12,Election
C127,28-06-2025 15:32,ei desher obostha dekho #126,Instagram,Comment,Romanized,Neutral,1,0,0,0,None,4,Election
C128,02-05-2025 14:34,sobai jane eta ki 💀 #127,Instagram,Post,Romanized,Social,1,0,0,0,None,5,Normal
C129,21-03-2025 16:50,bujhle bhalo #128,Instagram,Ad,Romanized,Political,1,0,0,1,None,19,Normal
C130,01-03-2025 16:31,sobai jane eta ki #129,Facebook,Post,Romanized,Neutral,1,0,0,0,None,22,Normal
C131,19-05-2025 03:24,ei desher obostha dekho 😂 #130,Facebook,Comment,Romanized,Neutral,0,1,0,1,None,7,Election
C132,19-05-2025 10:44,lokjon bujhte parbe na 🔥 #131,Instagram,Comment,Romanized,Social,1,0,0,0,None,24,Normal
C133,12-01-2025 18:25,sobai jane eta ki #132,Facebook,Ad,Romanized,Meme,0,0,0,0,None,2,Protest
C134,16-02-2025 06:28,eta khub bhalo kotha #133,Instagram,Post,Romanized,Meme,0,0,0,0,None,21,Protest
C135,30-04-2025 07:16,kichu bolar nei #134,Instagram,Comment,Romanized,Social,1,0,0,0,None,24,Normal
C136,11-05-2025 11:40,lokjon bujhte parbe na #135,Instagram,Post,Romanized,Political,1,0,0,0,None,12,Election
C137,31-03-2025 16:59,bujhle bhalo 🔥 #136,Facebook,Comment,Romanized,Political,0,0,0,0,None,12,Election
C138,08-05-2025 02:38,bujhle bhalo 👀 #137,Facebook,Post,Romanized,Social,0,0,0,0,None,21,Protest
C139,19-03-2025 20:02,ajkal onek kichu cholche 😏 #138,Facebook,Post,Romanized,Neutral,1,0,1,1,None,45,Normal
C140,04-04-2025 00:13,sobai jane eta ki #139,Facebook,Comment,Romanized,Meme,0,1,1,1,None,9,Election
C141,26-03-2025 20:55,bujhle bhalo 🙂 #140,Instagram,Comment,Romanized,Political,0,0,0,0,None,14,Normal
C142,12-04-2025 01:57,ajkal onek kichu cholche 🤡 #141,Facebook,Post,Romanized,Social,0,0,0,0,None,3,Normal
C143,20-01-2025 22:52,sobai jane eta ki #142,Instagram,Comment,Romanized,Social,1,0,0,0,None,24,Election
C144,13-02-2025 20:43,sobai jane eta ki #143,Facebook,Post,Romanized,Neutral,0,0,0,0,None,6,Protest
C145,22-03-2025 13:05,kichu bolar nei 👀 #144,Facebook,Ad,Romanized,Social,0,0,0,0,None,14,Normal
C146,09-06-2025 23:40,bujhle bhalo 😡 #145,Facebook,Ad,Romanized,Social,1,0,0,0,None,15,Normal
C147,18-06-2025 15:54,bujhle bhalo #146,Facebook,Comment,Romanized,Political,0,0,0,0,None,2,Normal
C148,17-03-2025 19:27,ei desher obostha dekho 🙂 #147,Facebook,Comment,Romanized,Political,0,0,0,0,None,10,Election
C149,06-05-2025 19:34,eta khub bhalo kotha #148,Facebook,Comment,Romanized,Neutral,1,1,0,1,None,11,Normal
C150,27-05-2025 11:53,ei desher obostha dekho 🙂 #149,Instagram,Comment,Romanized,Political,1,0,0,0,None,24,Normal
C151,19-01-2025 16:11,sobai jane eta ki 🙂 #150,Facebook,Comment,Romanized,Political,1,0,0,0,None,3,Normal
C152,28-05-2025 21:59,bujhle bhalo #151,Facebook,Comment,Romanized,Political,0,0,0,0,None,9,Normal
C153,03-05-2025 10:19,bujhle bhalo 🙏 #152,Facebook,Post,Romanized,Political,1,0,0,0,None,18,Election
C154,15-03-2025 12:13,lokjon bujhte parbe na 😂 #153,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,2,Protest
C155,10-03-2025 08:22,eta khub bhalo kotha #154,Facebook,Comment,Romanized,Meme,0,1,1,1,None,6,Election
C156,19-06-2025 18:31,kichu bolar nei 👀 #155,Facebook,Comment,Romanized,Social,0,0,0,0,None,22,Normal
C157,04-01-2025 20:14,eta khub bhalo kotha #156,Facebook,Comment,Romanized,Social,0,1,1,1,None,7,Election
C158,02-03-2025 09:37,eta khub bhalo kotha #157,Facebook,Comment,Romanized,Meme,0,0,0,0,None,23,Protest
C159,02-03-2025 18:15,ei desher obostha dekho #158,Facebook,Comment,Romanized,Political,1,1,0,1,None,10,Normal
C160,12-03-2025 06:47,bujhle bhalo 🙏 #159,Facebook,Comment,Romanized,Political,0,0,0,0,None,22,Normal
C161,27-03-2025 13:00,sobai jane eta ki #160,Facebook,Comment,Romanized,Political,0,0,0,0,None,11,Normal
C162,28-05-2025 16:30,ajkal onek kichu cholche 🤡 #161,Facebook,Ad,Romanized,Social,0,0,0,0,None,1,Election
C163,04-06-2025 05:13,ajkal onek kichu cholche 😂 #162,Instagram,Comment,Romanized,Political,1,1,1,1,None,8,Normal
C164,10-03-2025 23:55,bujhle bhalo #163,Facebook,Post,Romanized,Social,0,0,0,0,None,11,Normal
C165,26-01-2025 08:43,sobai jane eta ki #164,Facebook,Comment,Romanized,Social,0,1,0,1,None,9,Normal
C166,31-01-2025 07:26,bujhle bhalo #165,Facebook,Ad,Romanized,Social,0,0,0,0,None,16,Normal
C167,14-04-2025 10:15,eta khub bhalo kotha 💀 #166,Facebook,Comment,Romanized,Political,1,0,0,0,None,9,Normal
C168,16-02-2025 13:11,kichu bolar nei #167,Facebook,Comment,Romanized,Political,1,0,0,0,None,12,Protest
C169,19-01-2025 22:02,sobai jane eta ki 🔥 #168,Facebook,Comment,Romanized,Social,0,0,0,0,None,23,Protest
C170,07-05-2025 15:43,sobai jane eta ki #169,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,14,Protest
C171,08-04-2025 15:30,lokjon bujhte parbe na #170,Instagram,Comment,Romanized,Political,1,1,1,1,None,12,Election
C172,09-04-2025 02:06,ajkal onek kichu cholche #171,Instagram,Post,Romanized,Social,1,1,0,1,None,6,Normal
C173,20-03-2025 07:18,lokjon bujhte parbe na 🤡 #172,Instagram,Comment,Romanized,Social,0,0,0,0,None,13,Normal
C174,09-01-2025 20:37,eta khub bhalo kotha 👀 #173,Facebook,Comment,Romanized,Political,1,0,0,0,None,14,Election
C175,03-03-2025 19:39,lokjon bujhte parbe na 🤡 #174,Facebook,Post,Romanized,Political,0,0,0,0,None,21,Normal
C176,26-02-2025 13:05,bujhle bhalo 🙂 #175,Facebook,Comment,Romanized,Social,0,0,0,0,None,22,Normal
C177,12-04-2025 01:00,bujhle bhalo #176,Facebook,Ad,Romanized,Social,1,0,0,0,None,1,Election
C178,01-06-2025 06:28,bujhle bhalo 🤡 #177,Facebook,Post,Romanized,Meme,1,1,1,1,None,6,Normal
C179,14-05-2025 07:46,ei desher obostha dekho #178,Facebook,Comment,Romanized,Social,0,0,0,0,None,11,Protest
C180,12-04-2025 06:13,sobai jane eta ki #179,Instagram,Ad,Romanized,Political,0,0,0,0,None,6,Election
C181,28-04-2025 04:03,bujhle bhalo 👀 #180,Instagram,Comment,Romanized,Political,0,0,0,0,None,19,Election
C182,25-04-2025 04:58,kichu bolar nei #181,Facebook,Post,Romanized,Political,1,0,0,0,None,9,Election
C183,02-03-2025 05:22,ei desher obostha dekho 👀 #182,Facebook,Comment,Romanized,Political,1,0,0,1,Government,92,Election
C184,13-02-2025 04:42,kichu bolar nei #183,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,24,Normal
C185,12-02-2025 06:58,kichu bolar nei #184,Instagram,Comment,Romanized,Social,0,0,0,0,None,10,Normal
C186,01-06-2025 19:51,lokjon bujhte parbe na 😂 #185,Facebook,Post,Romanized,Social,1,0,0,0,None,12,Normal
C187,02-03-2025 06:08,kichu bolar nei #186,Instagram,Comment,Romanized,Social,0,0,0,0,None,18,Protest
C188,11-04-2025 00:07,eta khub bhalo kotha 👀 #187,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,3,Election
C189,28-03-2025 03:32,bujhle bhalo 💀 #188,Facebook,Comment,Romanized,Meme,1,0,0,0,None,15,Election
C190,16-04-2025 19:15,eta khub bhalo kotha #189,Facebook,Ad,Romanized,Meme,1,0,0,0,None,8,Normal
C191,25-05-2025 10:27,bujhle bhalo 😂 #190,Facebook,Comment,Romanized,Meme,0,0,0,0,None,14,Normal
C192,18-06-2025 20:37,eta khub bhalo kotha 🔥 #191,Facebook,Post,Romanized,Neutral,1,0,0,1,None,24,Normal
C193,25-05-2025 23:48,eta khub bhalo kotha #192,Instagram,Comment,Romanized,Meme,0,1,0,1,None,7,Normal
C194,06-03-2025 16:14,kichu bolar nei #193,Facebook,Post,Romanized,Political,0,0,0,0,None,8,Normal
C195,07-02-2025 19:34,ajkal onek kichu cholche 😏 #194,Instagram,Post,Romanized,Social,0,1,0,1,None,9,Election
C196,09-03-2025 06:48,eta khub bhalo kotha #195,Facebook,Comment,Romanized,Social,0,0,0,0,None,2,Normal
C197,30-04-2025 06:55,sobai jane eta ki #196,Instagram,Post,Romanized,Social,0,0,1,1,None,47,Normal
C198,16-05-2025 08:57,kichu bolar nei #197,Instagram,Comment,Romanized,Social,0,0,0,0,None,21,Normal
C199,19-01-2025 03:41,ajkal onek kichu cholche #198,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,21,Protest
C200,24-03-2025 22:33,bujhle bhalo 👀 #199,Facebook,Post,Romanized,Neutral,0,0,0,0,None,10,Election
C201,08-06-2025 06:40,sobai jane eta ki 🙂 #200,Facebook,Post,Romanized,Social,0,0,1,1,None,42,Normal
C202,22-05-2025 01:39,lokjon bujhte parbe na #201,Instagram,Ad,Romanized,Neutral,1,0,0,0,None,18,Normal
C203,25-06-2025 13:37,lokjon bujhte parbe na 😡 #202,Facebook,Ad,Romanized,Meme,0,0,0,0,None,1,Normal
C204,29-03-2025 03:23,ajkal onek kichu cholche 😏 #203,Instagram,Ad,Romanized,Social,1,0,0,0,None,11,Normal
C205,02-01-2025 04:14,ajkal onek kichu cholche #204,Facebook,Comment,Romanized,Social,1,1,1,1,None,10,Election
C206,18-02-2025 23:41,bujhle bhalo 🔥 #205,Facebook,Comment,Romanized,Social,1,0,0,0,None,20,Normal
C207,14-06-2025 19:08,ei desher obostha dekho #206,Instagram,Comment,Romanized,Social,0,0,0,0,None,15,Election
C208,31-05-2025 23:27,ajkal onek kichu cholche #207,Facebook,Comment,Romanized,Social,0,0,0,0,None,18,Normal
C209,22-04-2025 03:42,ei desher obostha dekho 💀 #208,Facebook,Comment,Romanized,Social,0,1,0,1,None,10,Protest
C210,21-03-2025 08:40,ei desher obostha dekho #209,Facebook,Post,Romanized,Social,1,0,0,0,None,15,Normal
C211,23-05-2025 20:58,ei desher obostha dekho 😏 #210,Instagram,Comment,Romanized,Neutral,0,0,0,1,None,1,Normal
C212,18-06-2025 08:22,bujhle bhalo #211,Facebook,Comment,Romanized,Neutral,1,0,0,1,None,23,Normal
C213,12-06-2025 04:00,sobai jane eta ki #212,Facebook,Comment,Romanized,Meme,1,0,0,0,None,13,Normal
C214,17-06-2025 07:32,eta khub bhalo kotha #213,Instagram,Comment,Romanized,Political,0,0,0,0,None,5,Normal
C215,06-04-2025 16:48,sobai jane eta ki #214,Facebook,Post,Romanized,Political,0,0,0,0,None,12,Election
C216,28-01-2025 05:51,lokjon bujhte parbe na #215,Facebook,Comment,Romanized,Social,0,0,0,0,None,18,Normal
C217,15-06-2025 19:15,ei desher obostha dekho 😡 #216,Facebook,Comment,Romanized,Political,1,0,0,0,None,10,Protest
C218,25-05-2025 00:16,lokjon bujhte parbe na #217,Instagram,Comment,Romanized,Political,0,0,0,0,None,2,Election
C219,06-05-2025 03:38,ei desher obostha dekho #218,Facebook,Comment,Romanized,Political,0,0,0,0,None,4,Election
C220,10-02-2025 16:12,eta khub bhalo kotha #219,Instagram,Comment,Romanized,Political,1,0,0,0,None,4,Normal
C221,21-03-2025 06:10,ei desher obostha dekho #220,Instagram,Comment,Romanized,Political,1,0,0,0,None,5,Election
C222,07-02-2025 06:43,bujhle bhalo #221,Facebook,Post,Romanized,Political,0,0,0,0,None,12,Normal
C223,11-02-2025 03:04,sobai jane eta ki #222,Facebook,Post,Romanized,Neutral,0,0,0,0,None,23,Election
C224,29-04-2025 01:18,ajkal onek kichu cholche #223,Facebook,Post,Romanized,Political,1,0,1,1,None,26,Normal
C225,02-03-2025 15:20,lokjon bujhte parbe na #224,Instagram,Comment,Romanized,Political,1,0,0,0,None,17,Normal
